样点地价,级别,功能分,等级,面积_1,折现年份,设定功能分,贴现系数,等级_1,级别价,距车站距离,级别价评估,区片价评估,测算容积率,用途_E,乡镇名称_E,名称_E,规划用途_E,开发程度_E,规划用途_1_E,开发程度_1_E,分类_E,主要区域_E,DLBM_E,DLMC_E,ZLDWMC_E,BZ_E,用途_1_E,区片_E,容积率_1_E,商服评价_E,市场评价_E,车站评价_E,银行评价_E,文娱评价_E,评估用途_E
3734.00,1.00,100.00,1.00,205308.78,7.98,54.80,0.62,0.28,0.00,0.00,0.00,0.00,0.00,5.00,18.00,7.00,5.00,10.00,5.00,10.00,3.00,4.00,15.00,15.00,65.00,2.00,6.00,31.00,21.00,2.00,2.00,2.00,2.00,2.00,14.00
3290.00,1.00,100.00,1.00,9539.89,0.00,60.00,1.00,1.00,1546.00,550.00,1700.00,1546.00,2.50,5.00,18.00,7.00,17.00,14.00,17.00,14.00,3.00,4.00,14.00,14.00,65.00,2.00,5.00,35.00,31.00,8.00,7.00,6.00,7.00,5.00,15.00
3595.00,1.00,100.00,1.00,15059.60,0.00,60.00,1.00,1.00,1366.00,550.00,1190.00,1366.00,2.50,5.00,18.00,7.00,17.00,14.00,17.00,14.00,3.00,4.00,14.00,14.00,65.00,2.00,5.00,33.00,31.00,8.00,7.00,5.00,9.00,6.00,15.00
3859.00,1.00,100.00,1.00,39093.83,0.00,60.00,1.00,1.00,1546.00,650.00,1700.00,1546.00,2.50,5.00,18.00,7.00,17.00,14.00,17.00,14.00,3.00,4.00,14.00,14.00,65.00,2.00,5.00,35.00,31.00,8.00,6.00,3.00,7.00,5.00,15.00
3304.00,2.00,72.00,1.00,194949.14,8.05,55.50,0.62,0.28,0.00,0.00,0.00,0.00,0.00,5.00,18.00,6.00,5.00,10.00,5.00,10.00,3.00,4.00,15.00,15.00,65.00,2.00,6.00,31.00,21.00,2.00,2.00,2.00,2.00,2.00,14.00
3568.00,2.00,72.00,1.00,202014.29,8.05,55.90,0.62,0.28,1628.00,750.00,1700.00,1628.00,2.50,5.00,18.00,6.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,37.00,31.00,5.00,7.00,3.00,9.00,5.00,15.00
3641.00,2.00,72.00,1.00,121543.06,0.00,70.00,1.00,1.00,1628.00,1050.00,1700.00,1628.00,2.50,5.00,18.00,6.00,17.00,14.00,17.00,14.00,3.00,4.00,14.00,14.00,65.00,4.00,5.00,37.00,31.00,8.00,7.00,4.00,9.00,6.00,15.00
3401.00,2.00,72.00,1.00,41753.53,0.00,60.00,1.00,1.00,1366.00,950.00,1190.00,1366.00,2.50,5.00,18.00,6.00,17.00,14.00,17.00,14.00,3.00,4.00,14.00,14.00,65.00,2.00,5.00,33.00,31.00,8.00,7.00,5.00,7.00,7.00,15.00
3296.00,2.00,72.00,1.00,15405.83,0.00,60.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,5.00,18.00,6.00,17.00,14.00,17.00,14.00,3.00,4.00,15.00,15.00,65.00,2.00,6.00,31.00,21.00,2.00,2.00,2.00,2.00,2.00,14.00
3135.00,2.00,72.00,1.00,191545.54,8.05,54.40,0.62,0.28,1366.00,700.00,1190.00,1366.00,2.50,5.00,18.00,6.00,5.00,10.00,5.00,10.00,3.00,4.00,14.00,14.00,65.00,2.00,5.00,33.00,31.00,8.00,7.00,5.00,9.00,6.00,15.00
3103.00,1.00,100.00,1.00,98874.19,0.00,60.00,1.00,1.00,1142.00,80.00,1190.00,1143.00,0.00,5.00,18.00,2.00,17.00,14.00,17.00,14.00,3.00,4.00,14.00,14.00,65.00,3.00,5.00,23.00,21.00,6.00,7.00,7.00,9.00,8.00,15.00
